M,ML,EFC,EFS,run_index,build_time_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,params_match,log_file
59,7,763,7000,1,9325.865666,598.020012,0.898760,1.672185,7374.461300,7459,16721.848421,match,
basic_results/run_20251206_034243/run_M59_ML7_EFC763_EFS7000_run1.log,,,,,,,,,,,,,
59,7,763,8000,1,56311.878768,446.064672,0.911200,2.241827,8373.956600,8449,22418.273913,match,
basic_results/run_20251206_034243/run_M59_ML7_EFC763_EFS8000_run1.log,,,,,,,,,,,,,
59,7,763,9000,1,46092.359591,352.234848,0.921540,2.839015,9373.322800,9458,28390.149516,match,
basic_results/run_20251206_034243/run_M59_ML7_EFC763_EFS9000_run1.log,,,,,,,,,,,,,
59,7,763,20000,1,33574.996516,38.151529,0.970490,26.211269,20372.298000,20460,262112.693959,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS20000_run1.log,,,,,,,,,,,,,
59,7,763,24000,1,33578.028496,32.051830,0.977310,31.199467,24371.907800,24460,311994.669328,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS24000_run1.log,,,,,,,,,,,,,
59,7,763,28000,1,33583.502978,27.501855,0.982440,36.361184,28371.382800,28471,363611.838329,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS28000_run1.log,,,,,,,,,,,,,
59,7,763,32000,1,33590.254122,25.802703,0.986150,38.755630,32370.892100,32472,387556.303373,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS32000_run1.log,,,,,,,,,,,,,
59,7,763,36000,1,33592.909350,24.812952,0.988750,40.301532,36370.658700,36469,403015.323858,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS36000_run1.log,,,,,,,,,,,,,
59,7,763,40000,1,33592.638909,23.982380,0.990760,41.697280,40370.522500,40475,416972.801216,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS40000_run1.log,,,,,,,,,,,,,
59,7,763,44000,1,33568.009878,22.698706,0.992320,44.055374,44369.959800,44448,440553.740651,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS44000_run1.log,,,,,,,,,,,,,
59,7,763,48000,1,33591.166677,21.980275,0.993680,45.495336,48369.850600,48500,454953.363680,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS48000_run1.log,,,,,,,,,,,,,
59,7,763,52000,1,33584.181604,21.234745,0.994810,47.092631,52369.597000,52474,470926.306174,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS52000_run1.log,,,,,,,,,,,,,
59,7,763,56000,1,33596.659434,20.752223,0.995690,48.187608,56369.243600,56463,481876.075499,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS56000_run1.log,,,,,,,,,,,,,
59,7,763,60000,1,33591.660670,20.279187,0.996310,49.311641,60368.818700,60486,493116.406527,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS60000_run1.log,,,,,,,,,,,,,
59,7,763,64000,1,33576.942769,19.429616,0.996860,51.467820,64368.797700,64456,514678.201838,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS64000_run1.log,,,,,,,,,,,,,
59,7,763,68000,1,33578.999601,19.369763,0.997310,51.626859,68368.761200,68448,516268.590461,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS68000_run1.log,,,,,,,,,,,,,
59,7,763,72000,1,33586.268525,18.796324,0.997660,53.201892,72368.187400,72451,532018.922335,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS72000_run1.log,,,,,,,,,,,,,
59,7,763,76000,1,33594.680539,18.658993,0.997900,53.593460,76368.253500,76453,535934.599922,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS76000_run1.log,,,,,,,,,,,,,
59,7,763,80000,1,33582.072729,18.258985,0.998130,54.767556,80368.079500,80474,547675.561845,match,
basic_results/run_20251206_002608/run_M59_ML7_EFC763_EFS80000_run1.log,,,,,,,,,,,,,
