STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c5984_i16_p1270,5984,16,1270,0,.988300,4.935000,0
c6582_i16_p1270,6582,16,1270,0,.985000,4.650000,0
c5386_i16_p1270,5386,16,1270,0,.990800,5.160000,0
c5984_i16_p1428,5984,16,1428,0,.990500,5.290000,0
c5984_i16_p1112,5984,16,1112,0,.983700,4.235000,0
c6582_i16_p1428,6582,16,1428,0,.988800,4.855000,0
c6582_i16_p1112,6582,16,1112,0,.980400,3.805000,0
c5386_i16_p1428,5386,16,1428,0,.992600,5.630000,0
c5386_i16_p1112,5386,16,1112,0,.988000,4.745000,0
c6346_i16_p1393,6346,16,1393,0,.989000,4.940000,0
c4788_i16_p1270,4788,16,1270,0,.991100,5.780000,0
c4788_i16_p1428,4788,16,1428,0,.993700,6.130000,0
c4788_i16_p1112,4788,16,1112,0,.988900,5.505000,0
c5022_i16_p1201,5022,16,1201,0,.991200,5.005000,0
c5620_i16_p1201,5620,16,1201,0,.988300,5.160000,0
c4424_i16_p1201,4424,16,1201,0,.990400,5.280000,0
c5022_i16_p1359,5022,16,1359,0,.992800,5.500000,0
c5022_i16_p1043,5022,16,1043,0,.987900,4.600000,0
c5620_i16_p1359,5620,16,1359,0,.991500,5.320000,0
c5620_i16_p1043,5620,16,1043,0,.984600,4.250000,0
c4424_i16_p1359,4424,16,1359,0,.992800,5.775000,0
c4424_i16_p1043,4424,16,1043,0,.988500,5.335000,0
c5009_i16_p1186,5009,16,1186,0,.991000,5.175000,0
c5321_i16_p1201,5321,16,1201,0,.990300,4.915000,0
c4723_i16_p1201,4723,16,1201,0,.990400,5.375000,0
c5022_i16_p1280,5022,16,1280,0,.992100,5.455000,0
c5022_i16_p1122,5022,16,1122,0,.990300,4.895000,0
c5321_i16_p1280,5321,16,1280,0,.991100,5.340000,0
c5321_i16_p1122,5321,16,1122,0,.988300,4.790000,0
c4723_i16_p1280,4723,16,1280,0,.991400,5.955000,0
c4723_i16_p1122,4723,16,1122,0,.989200,5.280000,0
c5300_i16_p1190,5300,16,1190,0,.989400,4.945000,0
c5321_i16_p1043,5321,16,1043,0,.986800,4.805000,0
c4723_i16_p1043,4723,16,1043,0,.988000,5.065000,0
c5227_i16_p1158,5227,16,1158,0,.989800,4.905000,0
c5171_i16_p1122,5171,16,1122,0,.988900,4.825000,0
c4873_i16_p1122,4873,16,1122,0,.989500,5.005000,0
c5022_i16_p1161,5022,16,1161,0,.990800,5.160000,0
c5022_i16_p1083,5022,16,1083,0,.989400,4.270000,0
c5171_i16_p1161,5171,16,1161,0,.989700,5.020000,0
c5171_i16_p1083,5171,16,1083,0,.987600,4.245000,0
c4873_i16_p1161,4873,16,1161,0,.990200,5.485000,0
c4873_i16_p1083,4873,16,1083,0,.988800,4.900000,0
c4924_i16_p1143,4924,16,1143,0,.989800,5.090000,0
