M,MaxLayer,EFC,EFS,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,256,0.958750,1.077149,9511.336100,4056.243599,928.376839
32,7,1000,272,0.961530,1.156621,10000.776400,4561.992962,864.587229
32,7,1000,288,0.964160,1.498377,10486.646300,2127.728316,667.388656
32,7,1000,304,0.966260,1.159780,10965.590000,4336.064639,862.232453
32,7,1000,320,0.968080,1.251850,11441.485600,4010.152230,798.817633
32,7,1000,336,0.969860,1.318880,11911.431900,2321.315325,758.218950
32,7,1000,352,0.971340,1.409222,12377.625600,4023.237161,709.611358
32,7,1000,368,0.972680,1.449632,12840.172900,4133.135019,689.830126
32,7,1000,384,0.974220,1.466211,13297.816900,1982.625358,682.030040
32,7,1000,400,0.975600,1.574562,13751.754300,3959.111669,635.097151
32,7,1000,416,0.976900,1.604824,14203.225000,4132.429043,623.121119
32,7,1000,432,0.978190,2.014479,14648.767900,4075.978579,496.406145
32,7,1000,448,0.979190,1.728289,15092.774500,2397.336279,578.606876
32,7,1000,464,0.979990,1.786347,15532.147200,4050.647823,559.801614
32,7,1000,480,0.981010,1.839189,15969.186000,4091.474929,543.717988
32,7,1000,496,0.981950,1.898558,16401.468500,4063.896219,526.715432
32,7,1000,512,0.982720,1.980645,16832.555900,3961.143162,504.886149
32,7,1300,256,0.959190,1.034598,9611.225900,2229.868562,966.559044
32,7,1300,272,0.961770,1.099141,10106.691000,4051.513290,909.801082
32,7,1300,288,0.964590,1.492236,10598.968800,3937.879552,670.135270
32,7,1300,304,0.966670,1.218250,11085.292900,4079.298383,820.849744
32,7,1300,320,0.968620,1.266488,11565.698200,4102.211859,789.585046
32,7,1300,336,0.970390,1.346908,12041.669300,3954.517642,742.441201
32,7,1300,352,0.972000,1.408210,12513.456200,3969.129025,710.121240
32,7,1300,368,0.973370,1.439433,12980.351300,3966.296787,694.717943
32,7,1300,384,0.974800,1.514018,13444.744200,4004.878956,660.494325
32,7,1300,400,0.976060,1.512960,13902.961200,4014.416836,660.956160
32,7,1300,416,0.977630,1.601976,14359.757000,4030.380523,624.228980
32,7,1300,432,0.978770,2.005162,14811.696000,4055.333535,498.712839
32,7,1300,448,0.979630,1.726108,15260.437600,4346.366570,579.338037
32,7,1300,464,0.980660,1.789164,15705.343700,2300.783587,558.920199
32,7,1300,480,0.981430,1.914393,16146.930300,4166.659764,522.358867
32,7,1300,496,0.982390,1.930270,16585.551800,4245.713951,518.062175
32,7,1300,512,0.983190,1.915419,17020.759300,4275.996481,522.078875
40,7,1000,256,0.967900,1.216002,11298.082500,6284.571579,822.367370
40,7,1000,272,0.970320,1.264121,11882.399200,2126.503069,791.063286
40,7,1000,288,0.972370,1.707700,12461.771300,4122.393521,585.582893
40,7,1000,304,0.974400,1.447318,13036.009000,4561.790856,690.933117
40,7,1000,320,0.976160,1.485825,13601.758000,4127.784043,673.026858
40,7,1000,336,0.977730,1.543774,14163.450400,4309.674346,647.763173
40,7,1000,352,0.979190,1.627377,14719.024400,4340.830847,614.485605
40,7,1000,368,0.980460,1.748343,15269.278100,4155.510816,571.970008
40,7,1000,384,0.981650,1.822341,15816.112200,4510.860390,548.744598
40,7,1000,400,0.982650,1.834284,16357.157000,4208.895671,545.171777
40,7,1000,416,0.983700,2.219921,16893.252100,4172.944888,450.466464
40,7,1000,432,0.984460,1.980610,17424.692500,4830.382042,504.894991
40,7,1000,448,0.985350,1.973761,17952.796900,4331.878654,506.646839
40,7,1000,464,0.986380,2.143924,18476.033300,4325.047746,466.434359
