M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,128,41,0.913690,0.484266,4236.287300,4047.487992,2064.979115
32,7,1000,160,41,0.928630,0.585666,5050.511400,3768.006826,1707.459264
32,7,1000,192,41,0.939640,0.693807,5835.046700,3766.237252,1441.323775
32,7,1000,224,41,0.947890,0.780703,6589.991900,3771.907050,1280.896354
32,7,1000,256,41,0.954180,0.886410,7321.155900,3756.070289,1128.146260
32,7,1000,288,41,0.959230,1.010091,8030.303700,3763.272647,990.009716
32,7,1000,320,41,0.963060,1.081572,8721.235100,3859.103455,924.580429
32,7,1000,352,41,0.966470,1.183023,9394.188100,3757.057799,845.292120
32,7,1000,384,41,0.969560,1.262172,10052.215000,3779.217171,792.285169
32,7,1000,416,41,0.972250,1.357054,10695.681700,3752.980398,736.890171
32,7,1000,448,41,0.974290,1.446226,11326.459500,4988.813611,691.454712
32,7,1000,480,41,0.976230,1.510357,11944.319300,3878.505603,662.095175
32,7,1000,512,41,0.977840,1.603180,12551.580700,3753.726017,623.760337
32,7,1300,128,41,0.913680,0.488903,4257.788500,3826.678638,2045.397089
32,7,1300,160,41,0.928350,0.589402,5081.333500,3762.532686,1696.634773
32,7,1300,192,41,0.939770,0.690115,5873.895100,3768.243283,1449.034398
32,7,1300,224,41,0.947930,0.775873,6638.492300,3752.599963,1288.870987
32,7,1300,256,41,0.953770,0.887181,7378.092100,3738.319026,1127.165122
32,7,1300,288,41,0.958800,0.967049,8094.323700,3745.490563,1034.074076
32,7,1300,320,41,0.962670,1.058525,8793.436800,3734.191487,944.710801
32,7,1300,352,41,0.966070,1.468646,9474.296300,3718.405309,680.899232
32,7,1300,384,41,0.969420,1.267887,10139.286800,4315.920494,788.713930
32,7,1300,416,41,0.972010,1.372457,10789.901200,3760.476869,728.620244
32,7,1300,448,41,0.974200,1.465972,11427.876900,3734.348208,682.141308
32,7,1300,480,41,0.976110,1.520899,12052.188100,3685.774253,657.506031
