M,MaxLayer,EFC,EFS,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,600,100,0.896850,0.397387,5028.688800,3668.148695,2516.440856
32,7,600,250,0.955810,0.914772,11016.098900,3726.860422,1093.168431
32,7,600,500,0.981020,1.734473,20137.921300,3705.328831,576.543920
32,7,600,600,0.985260,2.014900,23592.298000,3965.004750,496.302484
32,7,600,800,0.990630,2.683924,30266.368200,3846.527046,372.588853
32,7,600,1000,0.993860,3.516078,36677.831500,3727.188896,284.407829
32,7,1000,100,0.899250,0.410610,5206.143900,3810.790776,2435.403683
32,7,1000,250,0.958130,0.946986,11442.645400,3967.654626,1055.982338
32,7,1000,500,0.982690,1.781761,20932.771300,3821.179228,561.242595
32,7,1000,600,0.986450,2.132481,24520.892400,3735.383885,468.937365
32,7,1000,800,0.991440,2.778515,31447.341400,3739.950875,359.904487
32,7,1000,1000,0.994190,3.711233,38092.149500,3773.408721,269.452249
32,7,1300,100,0.899890,0.430003,5294.080900,3957.322494,2325.562754
32,7,1300,250,0.958660,0.961331,11622.203200,3746.605051,1040.224152
32,7,1300,500,0.983010,1.805563,21238.547800,3839.940190,553.843862
32,7,1300,600,0.986990,2.098230,24876.613500,3740.460011,476.592218
32,7,1300,800,0.991730,2.826329,31890.541400,3760.334974,353.815824
32,7,1300,1000,0.994520,3.458924,38617.627600,3693.581126,289.107224
40,7,600,100,0.907240,0.482352,5926.039700,3818.220210,2073.174812
40,7,600,250,0.965060,1.378231,13091.625600,4274.034463,725.567576
40,7,600,500,0.986550,2.023228,23989.028900,3829.637201,494.259696
40,7,600,600,0.989960,2.385243,28106.687800,3824.733676,419.244501
40,7,600,800,0.994040,3.125048,36043.560700,3832.189567,319.995092
40,7,600,1000,0.996160,3.742775,43643.750900,3815.837562,267.181422
40,7,1000,100,0.911280,0.483839,6276.028300,3959.075529,2066.804979
40,7,1000,250,0.967470,1.102876,13875.485300,3922.024336,906.720324
40,7,1000,500,0.988660,2.093953,25414.981800,4157.592490,477.565705
40,7,1000,600,0.991660,2.450803,29767.062100,3943.583170,408.029556
40,7,1000,800,0.995320,3.276426,38142.950300,3980.517487,305.210611
40,7,1000,1000,0.997020,4.035100,46153.974700,3933.695004,247.825317
40,7,1300,100,0.912830,0.497990,6380.512300,3999.267022,2008.071090
40,7,1300,250,0.968300,1.115918,14141.974700,3965.494997,896.123318
40,7,1300,500,0.988880,2.496748,25909.788900,4082.285458,400.521016
40,7,1300,600,0.992030,2.563274,30344.690500,4012.455191,390.126105
40,7,1300,800,0.995490,3.301366,38877.612800,4010.014231,302.904932
40,7,1300,1000,0.997050,4.119226,47032.001900,3957.998845,242.764080
64,7,600,100,0.920370,0.563286,7685.772100,4111.124212,1775.296606
64,7,600,250,0.973080,1.324166,17146.145500,4090.738894,755.192193
64,7,600,500,0.991740,2.863821,31498.365400,4167.826059,349.183790
64,7,600,600,0.994350,2.999122,36894.257800,4176.376997,333.430964
64,7,600,800,0.996850,3.942568,47243.719800,4287.770901,253.641767
64,7,600,1000,0.997970,4.907364,57103.665800,4118.983725,203.775381
64,7,1000,100,0.926270,0.645622,8530.788300,4321.380878,1548.894332
64,7,1000,250,0.976990,1.475533,19053.248200,4740.630509,677.721007
64,7,1000,500,0.993590,2.773432,34964.569500,4374.530720,360.564062
64,7,1000,600,0.995730,3.309556,40929.997300,4533.914416,302.155363
64,7,1000,800,0.997690,4.376573,52349.214200,4309.639450,228.489290
64,7,1000,1000,0.998590,5.769282,63199.693000,4426.301624,173.331797
64,7,1300,100,0.927990,0.660842,8886.056000,4437.504423,1513.221145
64,7,1300,250,0.978220,1.546138,19835.845200,4571.037737,646.772650
64,7,1300,500,0.994090,2.959480,36377.780000,4429.057070,337.897198
64,7,1300,600,0.996120,3.423762,42572.267500,4456.150211,292.076416
64,7,1300,800,0.998100,4.848573,54423.365700,4405.501321,206.246249
64,7,1300,1000,0.998870,5.520670,65675.006000,4246.721484,181.137422
80,7,600,100,0.922350,0.623838,8294.592900,4121.740896,1602.981054
80,7,600,250,0.974530,1.450707,18523.854200,4193.693863,689.319011
80,7,600,500,0.992260,2.750165,34019.713700,3797.008403,363.614562
80,7,600,600,0.994700,3.594287,39833.424600,4149.692621,278.219328
80,7,600,800,0.997040,4.291393,50973.946500,4185.509577,233.024556
80,7,600,1000,0.998090,5.069447,61560.701100,4128.311177,197.260183
80,7,1000,100,0.929120,0.711606,9319.423600,4420.023743,1405.271280
80,7,1000,250,0.978700,1.581623,20883.075000,4417.935322,632.262073
80,7,1000,500,0.994000,3.426105,38342.327300,4634.391439,291.876656
80,7,1000,600,0.996030,3.636001,44870.288600,4532.480594,275.027461
80,7,1000,800,0.997860,4.692300,57349.023300,4566.078913,213.115120
80,7,1000,1000,0.998720,5.917612,69173.399400,4377.718998,168.987094
80,7,1300,100,0.930970,1.104275,9755.625500,4699.364313,905.571170
80,7,1300,250,0.980010,1.684936,21894.049600,4514.143998,593.494241
80,7,1300,500,0.994570,3.190774,40192.631300,4496.961672,313.403593
80,7,1300,600,0.996510,3.827564,47031.096200,4575.584154,261.262781
80,7,1300,800,0.998340,4.988756,60080.867600,4525.039597,200.450754
80,7,1300,1000,0.999050,6.408349,72435.551900,4488.618505,156.046429
