M,MaxLayer,EFC,EFS,HammingThreshold,Recall,avg_dists,BuildTime_ms,QPS,AvgQueryTime_ms,Reward
32,7,1000,256,44,0.95875,9511.3361,4046.253268,927.787402,1.077833,14305.0861
32,7,1300,256,44,0.95919,9611.2259,2875.975839,979.08992,1.021357,14407.1759
32,7,1000,272,44,0.96153,10000.7764,3992.088932,911.044205,1.097642,14808.4264
32,7,1300,272,44,0.96177,10106.691,4040.966892,904.067587,1.106112,14915.541
32,7,1000,288,44,0.96416,10486.6463,5164.713609,835.987526,1.19619,15307.4463
32,7,1300,288,44,0.96459,10598.9688,3942.503326,844.083414,1.184717,15421.9188
32,7,1000,304,44,0.96626,10965.59,3954.655648,842.767954,1.186566,15796.89
32,7,1300,304,44,0.96667,11085.2929,3918.267698,830.312557,1.204366,15918.6429
40,7,1000,256,44,0.9679,11298.0825,4200.540001,834.747981,1.197966,16137.5825
32,7,1000,320,44,0.96808,11441.4856,3976.183061,798.731564,1.251985,16281.8856
32,7,1300,320,44,0.96862,11565.6982,4016.206129,626.704751,1.595648,16408.7982
40,7,1300,256,44,0.96866,11510.5446,4359.581601,779.223306,1.283329,16353.8446
32,7,1000,336,44,0.96986,11911.4319,4012.340972,764.879554,1.307395,16760.7319
40,7,1000,272,44,0.97032,11882.3992,4205.879203,738.472466,1.354147,16733.9992
32,7,1300,336,44,0.97039,12041.6693,4130.687887,772.487047,1.29452,16893.6193
40,7,1300,272,44,0.97114,12107.5332,4266.17164,648.531449,1.541945,16963.2332
32,7,1000,352,44,0.97134,12377.6256,4701.368275,711.488231,1.405505,17234.3256
32,7,1300,352,44,0.972,12513.4562,4055.575582,717.193545,1.394324,17373.4562
40,7,1000,288,44,0.97237,12461.7713,4308.620209,702.715278,1.423051,17323.6213
32,7,1000,368,44,0.97268,12840.1729,4043.045289,682.924384,1.464291,17703.5729
40,7,1300,288,44,0.97336,12697.0027,2198.658182,679.735455,1.471161,17563.8027
32,7,1300,368,44,0.97337,12980.3513,3854.124825,689.512554,1.4503,17847.2013
32,7,1000,384,44,0.97422,13297.8169,4008.893693,666.243687,1.500952,18168.9169
40,7,1000,304,44,0.9744,13036.009,4887.607344,684.050693,1.46188,17908.009
32,7,1300,384,44,0.9748,13444.7442,4022.078439,682.213746,1.465816,18318.7442
40,7,1300,304,44,0.97508,13281.0269,4465.609899,654.542093,1.527786,18156.4269
32,7,1000,400,44,0.9756,13751.7543,3949.116567,643.682044,1.553562,18629.7543
57,7,1000,256,44,0.97604,14271.3097,4839.285649,610.271042,1.638616,19151.5097
32,7,1300,400,44,0.97606,13902.9612,4706.869905,639.468542,1.563799,18783.2612
40,7,1000,320,44,0.97616,13601.758,4217.441465,548.851455,1.821987,18482.558
40,7,1300,320,44,0.97675,13857.9681,4327.390843,650.067446,1.538302,18741.7181
32,7,1000,416,44,0.9769,14203.225,4073.677595,613.099191,1.631057,19087.725
57,7,1300,256,44,0.97724,14730.5148,2737.879106,556.815345,1.795928,19616.7148
32,7,1300,416,44,0.97763,14359.757,4017.880521,504.291967,1.982978,19247.907
40,7,1000,336,44,0.97773,14163.4504,4273.466793,624.574414,1.60109,19052.1004
32,7,1000,432,44,0.97819,14648.7679,4074.9699,576.261452,1.735323,19539.7179
40,7,1300,336,44,0.97821,14429.6878,4329.403311,609.589217,1.640449,19320.7378
57,7,1000,272,44,0.97835,15011.3668,5465.422224,610.528548,1.637925,19903.1168
32,7,1300,432,44,0.97877,14811.696,3839.117037,577.025698,1.733025,19705.546
40,7,1000,352,44,0.97919,14719.0244,4119.432327,603.768139,1.656265,19614.9744
32,7,1000,448,44,0.97919,15092.7745,4006.269049,574.136871,1.741745,19988.7245
57,7,1300,272,44,0.97922,15494.2982,4583.513773,598.661859,1.670392,20390.3982
32,7,1300,448,44,0.97963,15260.4376,3984.921945,573.458276,1.743806,20158.5876
40,7,1300,352,44,0.97969,14996.5252,2076.713613,560.716536,1.783432,19894.9752
32,7,1000,464,44,0.97999,15532.1472,4013.408509,562.447961,1.777942,20432.0972
57,7,1000,288,44,0.98027,15739.6044,5260.851102,550.924287,1.815131,20640.9544
40,7,1000,368,44,0.98046,15269.2781,4248.297695,576.510018,1.734575,20171.5781
32,7,1300,464,44,0.98066,15705.3437,3937.12933,563.347526,1.775103,20608.6437
40,7,1300,368,44,0.98092,15557.173,4434.448126,548.014807,1.824768,20461.773
32,7,1000,480,44,0.98101,15969.186,4052.823397,534.933331,1.869392,20874.236
57,7,1300,288,44,0.98106,16246.0686,4714.125498,600.038734,1.666559,21151.3686
32,7,1300,480,44,0.98143,16146.9303,4019.848133,522.516269,1.913816,21054.0803
40,7,1000,384,44,0.98165,15816.1122,4077.16614,552.773322,1.80906,20724.3622
32,7,1000,496,44,0.98195,16401.4685,4062.51637,494.780992,2.021096,21311.2185
40,7,1300,384,44,0.98199,16112.1635,4392.120419,528.28519,1.892917,21022.1135
57,7,1000,304,44,0.98205,16462.7721,5339.398724,463.988606,2.155225,21373.0221
32,7,1300,496,44,0.98239,16585.5518,4195.092315,511.523001,1.954946,21497.5018
40,7,1000,400,44,0.98265,16357.157,4249.686571,534.355724,1.871413,21270.407
32,7,1000,512,44,0.98272,16832.5559,4016.55156,516.203703,1.93722,21746.1559
57,7,1300,304,44,0.98274,16991.3824,4383.054584,575.99703,1.73612,21905.0824
40,7,1300,400,44,0.98315,16663.6399,4327.611369,530.708773,1.884273,21579.3899
32,7,1300,512,44,0.98319,17020.7593,3946.460289,513.31444,1.948124,21936.7093
57,7,1000,320,44,0.98346,17177.0096,4739.372213,503.815497,1.984854,22094.3096
40,7,1000,416,44,0.9837,16893.2521,4257.145819,518.081796,1.930197,21811.7521
57,7,1300,320,44,0.98402,17726.6061,4531.306916,544.768334,1.835643,22646.7061
40,7,1300,416,44,0.98409,17210.6772,4211.341351,537.265662,1.861277,22131.1272
40,7,1000,432,44,0.98446,17424.6925,4191.93384,494.002988,2.024279,22346.9925
57,7,1000,336,44,0.98482,17884.758,4601.557537,503.738199,1.985158,22808.858
40,7,1300,432,44,0.98497,17750.9942,4141.022471,488.051113,2.048966,22675.8442
57,7,1300,336,44,0.9852,18456.5345,4315.307661,512.92515,1.949602,23382.5345
40,7,1000,448,44,0.98535,17952.7969,4320.166236,467.703821,2.138105,22879.5469
40,7,1300,448,44,0.98585,18287.8025,4327.27404,476.768,2.097456,23217.0525
57,7,1000,352,44,0.98591,18585.1893,4773.135374,455.254105,2.196575,23514.7393
57,7,1300,352,44,0.98633,19178.9754,4336.098275,498.988041,2.004056,24110.6254
40,7,1000,464,44,0.98638,18476.0333,4330.142735,459.959336,2.174105,23407.9333
40,7,1300,464,44,0.98678,18820.582,4427.325742,446.494108,2.239671,23754.482
57,7,1000,368,44,0.98683,19276.0215,4614.33579,440.909594,2.268039,24210.1715
40,7,1000,480,44,0.98719,18995.1004,4220.567347,454.700881,2.199248,23931.0504
40,7,1300,480,44,0.9875,19348.8177,4407.755785,427.204594,2.340799,24286.3177
57,7,1000,384,44,0.98763,19963.238,4553.448914,421.983566,2.369761,24901.388
40,7,1000,496,44,0.98793,19510.0335,4054.730982,384.216311,2.602701,24449.6835
40,7,1300,496,44,0.98833,19873.2426,4313.901208,437.234304,2.287103,24814.8926
57,7,1000,400,44,0.98854,20641.7931,5003.656824,323.449942,3.091669,25584.4931
40,7,1000,512,44,0.98855,20021.7254,5115.606936,408.20803,2.449731,24964.4754
40,7,1300,512,44,0.98896,20393.9624,4074.785366,350.872163,2.850041,25338.7624
57,7,1000,416,44,0.98934,21315.8316,4557.996251,427.655217,2.338332,26262.5316
57,7,1000,432,44,0.9899,21982.3477,4652.90709,412.734323,2.422866,26931.8477
57,7,1000,448,44,0.99057,22642.7051,2063.488088,389.836062,2.565181,27595.5551
57,7,1000,464,44,0.99112,23298.4167,4620.272359,340.910431,2.933322,28254.0167
57,7,1000,480,44,0.99164,23948.0603,2645.610746,373.33359,2.67857,28906.2603
57,7,1000,496,44,0.99228,24594.4569,4522.462815,345.238284,2.89655,29555.8569
57,7,1000,512,44,0.99273,25233.6742,4685.477593,346.062469,2.889652,30197.3242
