variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,1000,4166.232084,4172.443786, 273.326906, 0.996540, 3.658623, 44637.523700, 37752, 36586.226172,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1000/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,1000,4135.509042,4141.446715, 246.724973, 0.996540, 4.053096, 44637.523700, 37752, 40530.959966,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1000/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,1000,4794.694745,4801.849302, 264.584063, 0.996540, 3.779517, 44637.523700, 37752, 37795.171300,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1000/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,1000,4190.590328,4196.682714, 302.475947, 0.996520, 3.306048, 44517.157400, 37564, 33060.480034,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1000/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,1100,,,,,,,,,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1100/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,1100,4169.189253,4175.446120, 245.858588, 0.997270, 4.067379, 48409.811100, 40774, 40673.787715,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1100/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,1100,4181.663902,4187.701194, 225.624192, 0.997270, 4.432149, 48409.811100, 40774, 44321.488368,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1100/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,1100,4160.946535,4167.385712, 269.537636, 0.997260, 3.710057, 48285.880100, 40583, 37100.570267,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS1100/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,1200,4083.779679,4090.165069, 233.118282, 0.997750, 4.289668, 52116.499200, 43387, 42896.678435,result-ablation/ablation_20251215_212044/params_M40_ML7_EFC700_EFS1200/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,1200,4224.825056,4230.436000, 214.618264, 0.997750, 4.659436, 52116.499200, 43387, 46594.356932,result-ablation/ablation_20251215_212044/params_M40_ML7_EFC700_EFS1200/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,1200,4237.844041,4244.646385, 232.672210, 0.997750, 4.297892, 52116.499200, 43387, 42978.918747,result-ablation/ablation_20251215_212044/params_M40_ML7_EFC700_EFS1200/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,1200,4060.543518,4066.576872, 254.634138, 0.997750, 3.927203, 51988.937700, 43192, 39272.031937,result-ablation/ablation_20251215_212044/params_M40_ML7_EFC700_EFS1200/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,500,4246.055456,4251.953567, 539.090560, 0.987290, 1.854976, 24579.849500, 22721, 18549.759069,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS500/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,500,1458809.019069,1511031.645971, 508.620691, 0.987290, 1.966102, 24579.849500, 22721, 19661.016915,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS500/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,500,4264.955607,4270.764647, 525.135572, 0.987290, 1.904270, 24579.849500, 22721, 19042.701589,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS500/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,500,4131.401801,4136.960146, 572.860344, 0.987400, 1.745626, 24482.500600, 22571, 17456.261550,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS500/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,600,4177.367078,4184.461452, 446.560837, 0.990540, 2.239337, 28784.923600, 25941, 22393.365390,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS600/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,600,4225.310456,4231.174510, 436.935842, 0.990540, 2.288666, 28784.923600, 25941, 22886.655290,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS600/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,600,4177.063934,4182.553852, 435.681131, 0.990540, 2.295257, 28784.923600, 25941, 22952.566183,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS600/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,600,4260.031472,4267.225644, 494.423396, 0.990610, 2.022558, 28682.149100, 25789, 20225.580088,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS600/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,700,4376.157945,4381.870837, 328.727400, 0.992880, 3.042034, 32885.332000, 29114, 30420.342166,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS700/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,700,4198.751111,4205.091376, 385.406490, 0.992880, 2.594663, 32885.332000, 29114, 25946.631052,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS700/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,700,4201.476263,4207.469261, 376.932666, 0.992880, 2.652994, 32885.332000, 29114, 26529.937288,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS700/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,700,4371.302968,4378.080151, 390.167908, 0.992910, 2.562999, 32777.689000, 28930, 25629.991067,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS700/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,800,4054.429760,4059.767377, 342.558655, 0.994570, 2.919208, 36885.496000, 32168, 29192.080967,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS800/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,800,4070.451045,4075.882976, 338.334854, 0.994570, 2.955652, 36885.496000, 32168, 29556.517379,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS800/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,800,4008.693964,4014.267799, 331.255135, 0.994570, 3.018821, 36885.496000, 32168, 30188.211281,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS800/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,40,7,700,800,4124.956436,4130.470742, 374.328030, 0.994600, 2.671454, 36773.045800, 31983, 26714.536999,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS800/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,40,7,700,900,4069.770031,4075.248854, 300.774469, 0.995720, 3.324750, 40801.606500, 34951, 33247.502817,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS900/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,40,7,700,900,4035.068222,4040.353600, 275.631215, 0.995720, 3.628036, 40801.606500, 34951, 36280.361044,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS900/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,40,7,700,900,4030.284500,4036.369743, 305.954807, 0.995720, 3.268457, 40801.606500, 34951, 32684.565783,result-ablation/ablation_20251215_203820/params_M40_ML7_EFC700_EFS900/heap/run_stdout_1.log,1
