variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,59,5,763,325,3854.252667,3859.067155, 900.447265, 0.974640, 1.110559, 16633.383600, 13669, 11105.592061,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,325,3827.447463,3832.649310, 886.089368, 0.974640, 1.128554, 16633.383600, 13669, 11285.543380,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,325,4997.467411,5002.279653, 872.653753, 0.974640, 1.145930, 16633.383600, 13669, 11459.298680,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,325,4163.680964,4168.694650, 875.359564, 0.974640, 1.142388, 16633.383600, 13669, 11423.877008,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,325,3861.480095,5101.425718, 542.284431, 0.000000, 1.844051, 16628.465600, 13537, 18440.507270,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,325,3881.547896,3886.499309, 718.882988, 0.974640, 1.391047, 16633.383600, 13669, 13910.469677,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,325,4141.241929,4146.397147, 878.372596, 0.974640, 1.138469, 16633.383600, 13669, 11384.690336,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,325,3808.813262,3813.689968, 695.823264, 0.974640, 1.437147, 16633.383600, 13669, 14371.465449,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,325,4113.860753,4119.049234, 852.223666, 0.974640, 1.173401, 16633.383600, 13669, 11734.008803,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,325,4155.050292,5436.518852, 481.853039, 0.000000, 2.075322, 16628.465600, 13537, 20753.215571,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS325/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,330,4766.989600,4774.828239, 702.389311, 0.975100, 1.423712, 16860.067800, 13823, 14237.118713,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,330,4152.640847,4158.774902, 845.280851, 0.975100, 1.183039, 16860.067800, 13823, 11830.387481,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,330,4137.243589,4142.309786, 831.497641, 0.975100, 1.202649, 16860.067800, 13823, 12026.492333,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,330,4231.986013,4237.582769, 872.127156, 0.975100, 1.146622, 16860.067800, 13823, 11466.217892,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,330,4430.957146,5696.855644, 528.511567, 0.000000, 1.892106, 16854.643200, 13691, 18921.061743,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,330,3889.013420,3894.046989, 717.048145, 0.975100, 1.394606, 16860.067800, 13823, 13946.064945,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,330,3850.478129,3855.564333, 850.092851, 0.975100, 1.176342, 16860.067800, 13823, 11763.420881,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,330,4179.346514,4184.562518, 854.751838, 0.975100, 1.169930, 16860.067800, 13823, 11699.302133,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,330,3857.865902,3862.879302, 855.017657, 0.975100, 1.169566, 16860.067800, 13823, 11695.664900,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,330,4004.595321,5424.152578, 470.260728, 0.000000, 2.126480, 16854.643200, 13691, 21264.799312,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS330/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,335,3964.170241,3970.216601, 867.762767, 0.975590, 1.152389, 17086.924500, 13976, 11523.886921,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,335,3994.110399,3999.742735, 847.951808, 0.975590, 1.179312, 17086.924500, 13976, 11793.123035,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,335,3949.395879,3955.814387, 858.207096, 0.975590, 1.165220, 17086.924500, 13976, 11652.199152,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,335,3960.184901,3966.412544, 843.897716, 0.975590, 1.184978, 17086.924500, 13976, 11849.777302,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,335,4278.194459,5771.731341, 516.373823, 0.000000, 1.936582, 17081.529500, 13844, 19365.815132,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,335,3993.822846,3999.715655, 695.988596, 0.975590, 1.436805, 17086.924500, 13976, 14368.051506,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,335,4225.393829,4231.129992, 672.329728, 0.975590, 1.487365, 17086.924500, 13976, 14873.654384,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,335,4204.671947,4209.839659, 829.082704, 0.975590, 1.206152, 17086.924500, 13976, 12061.522873,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,335,3917.922347,3924.027283, 871.393283, 0.975590, 1.147587, 17086.924500, 13976, 11475.874556,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,335,3958.940751,5392.527696, 468.847113, 0.000000, 2.132891, 17081.529500, 13844, 21328.914549,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS335/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,340,3923.201649,3928.748003, 839.507411, 0.976140, 1.191175, 17313.262100, 14106, 11911.747140,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,340,3929.741501,3935.337614, 852.161702, 0.976140, 1.173486, 17313.262100, 14106, 11734.862034,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,340,3947.493443,3952.896010, 827.328093, 0.976140, 1.208710, 17313.262100, 14106, 12087.103158,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,340,3992.109478,3998.423014, 832.536107, 0.976140, 1.201149, 17313.262100, 14106, 12011.491049,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,340,4108.868440,5563.382087, 498.192145, 0.000000, 2.007258, 17307.977400, 13974, 20072.576619,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,340,3960.592982,3966.648964, 676.183774, 0.976140, 1.478888, 17313.262100, 14106, 14788.878972,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,340,4006.156391,4011.849333, 833.741573, 0.976140, 1.199412, 17313.262100, 14106, 11994.124225,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,340,4174.144200,4180.072667, 832.763006, 0.976140, 1.200822, 17313.262100, 14106, 12008.218337,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,340,4675.326335,4682.583962, 761.301987, 0.976140, 1.313539, 17313.262100, 14106, 13135.391955,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,340,4028.841619,5437.364759, 459.308172, 0.000000, 2.177187, 17307.977400, 13974, 21771.874746,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS340/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,345,3947.070485,3953.419944, 807.928156, 0.976580, 1.237734, 17537.328200, 14249, 12377.338166,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,345,4057.851560,4063.468407, 845.550638, 0.976580, 1.182661, 17537.328200, 14249, 11826.612797,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,345,4020.604329,4025.862892, 788.864940, 0.976580, 1.267644, 17537.328200, 14249, 12676.441166,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/full/run_stdout_1.log,1
