STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,RECALL_PER_SEC
c512_i1_p32,512,1,32,OK,19.0,0.995,3.58,1.0,0.05236842105263158
c768_i1_p64,768,1,64,OK,20.0,0.9994,4.32,1.0,0.04997
c512_i1_p48,512,1,48,OK,20.0,0.9988,4.51,1.0,0.04994
c896_i1_p64,896,1,64,OK,20.0,0.9986,3.96,1.0,0.04993
c768_i1_p48,768,1,48,OK,20.0,0.9978,3.57,1.0,0.049890000000000004
c1024_i1_p64,1024,1,64,OK,20.0,0.9972,3.91,1.0,0.04986
c1280_i1_p64,1280,1,64,OK,20.0,0.997,3.39,2.0,0.04985
c640_i1_p48,640,1,48,OK,20.0,0.9966,3.85,1.0,0.04983
c896_i1_p48,896,1,48,OK,20.0,0.996,3.44,1.0,0.0498
c1024_i1_p48,1024,1,48,OK,20.0,0.995,3.04,2.0,0.04975
c1280_i1_p48,1280,1,48,OK,20.0,0.9936,3.02,2.0,0.04968
c640_i1_p32,640,1,32,OK,20.0,0.9922,3.31,1.0,0.04961
c768_i1_p32,768,1,32,OK,20.0,0.9912,3.08,1.0,0.04956
c896_i1_p32,896,1,32,OK,20.0,0.9876,3.27,1.0,0.04938
c1024_i1_p32,1024,1,32,OK,20.0,0.9852,2.98,2.0,0.04926
c2048_i1_p48,2048,1,48,OK,20.0,0.9836,2.33,3.0,0.04918
c1536_i1_p32,1536,1,32,OK,20.0,0.9808,2.85,2.0,0.04904
c768_i1_p80,768,1,80,OK,21.0,0.9996,5.03,1.0,0.0476
c896_i1_p80,896,1,80,OK,21.0,0.9996,4.46,1.0,0.0476
c1280_i1_p96,1280,1,96,OK,21.0,0.999,4.16,2.0,0.04757142857142857
