STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c64_i1_p224,64,1,224,40,0.9988,21.74,1
c96_i1_p224,96,1,224,33,0.9988,18.08,1
c128_i1_p224,128,1,224,32,0.9988,17.83,1
c64_i1_p32,64,1,32,30,0.9990,14.22,1
c96_i1_p32,96,1,32,29,0.9990,10.42,3
c128_i1_p32,128,1,32,25,0.9982,9.24,1
c192_i1_p32,192,1,32,32,0.9984,7.38,6
c256_i1_p32,256,1,32,21,0.9962,5.74,1
c384_i1_p32,384,1,32,19,0.9926,3.59,1
c512_i1_p32,512,1,32,22,0.9886,2.89,3
c640_i1_p32,640,1,32,17,0.9852,2.57,1
c768_i1_p32,768,1,32,16,0.9810,2.17,1
c896_i1_p32,896,1,32,20,0.9764,1.96,1
c64_i1_p64,64,1,64,35,0.9988,19.78,1
c96_i1_p64,96,1,64,36,0.9988,16.85,1
c128_i1_p64,128,1,64,29,0.9990,12.68,1
c192_i1_p64,192,1,64,26,0.9992,9.56,1
c256_i1_p64,256,1,64,24,0.9988,8.29,1
c384_i1_p64,384,1,64,26,0.9976,5.97,3
c512_i1_p64,512,1,64,20,0.9970,4.73,1
c640_i1_p64,640,1,64,19,0.9962,3.91,1
c768_i1_p64,768,1,64,21,0.9954,3.66,3
c896_i1_p64,896,1,64,20,0.9942,3.00,1
c1024_i1_p64,1024,1,64,19,0.9938,2.88,2
c1280_i1_p64,1280,1,64,23,0.9910,2.44,3
c1536_i1_p64,1536,1,64,18,0.9898,2.13,2
c2048_i1_p64,2048,1,64,18,0.9826,1.75,3
c2560_i1_p64,2560,1,64,18,0.9810,1.54,3
c3072_i1_p64,3072,1,64,22,0.9756,1.42,4
c64_i1_p128,64,1,128,36,0.9988,20.38,1
c96_i1_p128,96,1,128,36,0.9988,19.81,1
c128_i1_p128,128,1,128,36,0.9988,16.91,3
c192_i1_p128,192,1,128,29,0.9988,14.75,1
c256_i1_p128,256,1,128,30,0.9988,12.49,1
c384_i1_p128,384,1,128,31,0.9982,10.88,2
c512_i1_p128,512,1,128,23,0.9978,7.95,1
c640_i1_p128,640,1,128,23,0.9968,7.07,1
c768_i1_p128,768,1,128,22,0.9976,5.89,1
c896_i1_p128,896,1,128,22,0.9972,5.05,3
c1024_i1_p128,1024,1,128,21,0.9982,4.77,1
c1280_i1_p128,1280,1,128,21,0.9982,4.11,2
c1536_i1_p128,1536,1,128,21,0.9974,4.37,2
c2048_i1_p128,2048,1,128,25,0.9968,4.19,2
c2560_i1_p128,2560,1,128,18,0.9950,2.53,2
c3072_i1_p128,3072,1,128,18,0.9944,2.10,3
c4096_i1_p128,4096,1,128,18,0.9912,1.89,3
c5120_i1_p128,5120,1,128,21,0.9886,1.67,4
c6144_i1_p128,6144,1,128,20,0.9840,1.51,4
c8192_i1_p128,8192,1,128,21,0.9812,1.40,6
c10240_i1_p128,10240,1,128,23,0.9796,1.50,7
c192_i1_p224,192,1,224,32,0.9986,16.82,1
c256_i1_p224,256,1,224,31,0.9986,15.65,1
c384_i1_p224,384,1,224,34,0.9982,13.02,3
c512_i1_p224,512,1,224,26,0.9978,11.14,1
c640_i1_p224,640,1,224,27,0.9970,9.24,4
c768_i1_p224,768,1,224,24,0.9976,8.79,1
c896_i1_p224,896,1,224,28,0.9974,9.63,1
c1024_i1_p224,1024,1,224,21,0.9982,6.69,1
c1280_i1_p224,1280,1,224,22,0.9988,6.71,2
c1536_i1_p224,1536,1,224,22,0.9984,5.41,2
c2048_i1_p224,2048,1,224,20,0.9986,4.18,2
c2560_i1_p224,2560,1,224,21,0.9986,3.60,3
c3072_i1_p224,3072,1,224,22,0.9984,3.33,3
c4096_i1_p224,4096,1,224,21,0.9964,2.84,3
