STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c512_i2_p32,512,2,32,OK,49,0.8850,4.89,9
c512_i2_p64,512,2,64,OK,54,0.9356,7.68,9
c512_i2_p128,512,2,128,OK,58,0.9725,16.26,9
c512_i2_p256,512,2,256,OK,75,0.9933,33.69,9
c512_i4_p32,512,4,32,OK,52,0.8958,5.06,12
c512_i4_p64,512,4,64,OK,57,0.9397,7.99,12
c512_i4_p128,512,4,128,OK,61,0.9750,13.64,12
c512_i4_p256,512,4,256,OK,74,0.9950,24.81,12
c512_i8_p32,512,8,32,OK,60,0.9077,5.52,19
c512_i8_p64,512,8,64,OK,65,0.9479,10.42,19
c512_i8_p128,512,8,128,OK,75,0.9790,18.20,19
c512_i8_p256,512,8,256,OK,94,0.9955,30.04,19
c512_i16_p32,512,16,32,OK,79,0.9158,5.63,34
c512_i16_p64,512,16,64,OK,83,0.9529,10.62,34
c512_i16_p128,512,16,128,OK,92,0.9831,19.52,34
c512_i16_p256,512,16,256,OK,111,0.9971,37.88,34
c1024_i2_p32,1024,2,32,OK,55,0.8519,3.78,13
c1024_i2_p64,1024,2,64,OK,56,0.9059,5.24,12
c1024_i2_p128,1024,2,128,OK,60,0.9479,8.72,12
c1024_i2_p256,1024,2,256,OK,73,0.9799,17.72,18
c1024_i4_p32,1024,4,32,OK,62,0.8613,3.61,20
c1024_i4_p64,1024,4,64,OK,65,0.9141,5.19,20
c1024_i4_p128,1024,4,128,OK,68,0.9499,9.31,20
c1024_i4_p256,1024,4,256,OK,75,0.9811,16.85,20
c1024_i8_p32,1024,8,32,OK,82,0.8740,3.54,39
c1024_i8_p64,1024,8,64,OK,77,0.9200,5.45,34
c1024_i8_p128,1024,8,128,OK,83,0.9556,9.93,34
c1024_i8_p256,1024,8,256,OK,90,0.9838,18.42,34
c1024_i16_p32,1024,16,32,OK,111,0.8788,3.66,69
c1024_i16_p64,1024,16,64,OK,106,0.9260,5.40,62
c1024_i16_p128,1024,16,128,OK,112,0.9599,10.26,64
c1024_i16_p256,1024,16,256,OK,120,0.9856,18.75,63
c2048_i2_p32,2048,2,32,OK,66,0.8189,3.17,25
c2048_i2_p64,2048,2,64,OK,66,0.8781,3.79,25
c2048_i2_p128,2048,2,128,OK,68,0.9210,5.49,25
c2048_i2_p256,2048,2,256,OK,73,0.9564,9.53,25
c2048_i4_p32,2048,4,32,OK,86,0.8288,3.04,45
c2048_i4_p64,2048,4,64,OK,80,0.8820,3.71,39
c2048_i4_p128,2048,4,128,OK,83,0.9222,5.37,39
c2048_i4_p256,2048,4,256,OK,93,0.9591,9.63,45
c2048_i8_p32,2048,8,32,OK,110,0.8367,3.08,69
c2048_i8_p64,2048,8,64,OK,116,0.8834,3.66,75
c2048_i8_p128,2048,8,128,OK,115,0.9269,5.26,71
c2048_i8_p256,2048,8,256,OK,116,0.9621,9.88,68
c2048_i16_p32,2048,16,32,OK,169,0.8483,3.09,128
c2048_i16_p64,2048,16,64,OK,178,0.8915,3.85,135
c2048_i16_p128,2048,16,128,OK,180,0.9333,5.61,135
c2048_i16_p256,2048,16,256,OK,184,0.9657,10.51,133
c4096_i2_p32,4096,2,32,OK,97,0.7861,3.10,54
c4096_i2_p64,4096,2,64,OK,98,0.8453,3.34,55
c4096_i2_p128,4096,2,128,OK,92,0.8958,4.16,49
c4096_i2_p256,4096,2,256,OK,100,0.9356,5.96,56
c4096_i4_p32,4096,4,32,OK,130,0.7941,3.08,87
c4096_i4_p64,4096,4,64,OK,129,0.8507,3.43,86
c4096_i4_p128,4096,4,128,OK,128,0.8960,3.96,85
c4096_i4_p256,4096,4,256,OK,130,0.9338,5.67,86
c4096_i8_p32,4096,8,32,OK,189,0.8042,2.99,146
c4096_i8_p64,4096,8,64,OK,186,0.8559,3.48,144
c4096_i8_p128,4096,8,128,OK,190,0.9023,4.13,147
