STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,RECALL_PER_SEC
c512_i2_p32,512,2,32,OK,49,0.885,4.89,9,0.01806122448979592
c512_i2_p64,512,2,64,OK,54,0.9356,7.68,9,0.017325925925925925
c512_i4_p32,512,4,32,OK,52,0.8958,5.06,12,0.017226923076923077
c512_i2_p128,512,2,128,OK,58,0.9725,16.26,9,0.016767241379310346
c512_i4_p64,512,4,64,OK,57,0.9397,7.99,12,0.0164859649122807
c1024_i2_p64,1024,2,64,OK,56,0.9059,5.24,12,0.016176785714285716
c512_i4_p128,512,4,128,OK,61,0.975,13.64,12,0.015983606557377048
c1024_i2_p128,1024,2,128,OK,60,0.9479,8.72,12,0.015798333333333334
c1024_i2_p32,1024,2,32,OK,55,0.8519,3.78,13,0.015489090909090909
c512_i8_p32,512,8,32,OK,60,0.9077,5.52,19,0.015128333333333332
c512_i8_p64,512,8,64,OK,65,0.9479,10.42,19,0.014583076923076923
c1024_i4_p64,1024,4,64,OK,65,0.9141,5.19,20,0.014063076923076923
c1024_i4_p128,1024,4,128,OK,68,0.9499,9.31,20,0.013969117647058823
c1024_i4_p32,1024,4,32,OK,62,0.8613,3.61,20,0.013891935483870967
c2048_i2_p128,2048,2,128,OK,68,0.921,5.49,25,0.013544117647058825
c512_i4_p256,512,4,256,OK,74,0.995,24.81,12,0.013445945945945946
c1024_i2_p256,1024,2,256,OK,73,0.9799,17.72,18,0.013423287671232877
c2048_i2_p64,2048,2,64,OK,66,0.8781,3.79,25,0.013304545454545454
c512_i2_p256,512,2,256,OK,75,0.9933,33.69,9,0.013243999999999999
c2048_i2_p256,2048,2,256,OK,73,0.9564,9.53,25,0.013101369863013699
