STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c1536_i16_p64,1536,16,64,35,0.9043,2.34,19
c1600_i16_p64,1600,16,64,38,0.9028,2.27,20
c1800_i16_p64,1800,16,64,34,0.8980,1.47,20
c2048_i16_p64,2048,16,64,37,0.8911,1.24,23
c2200_i16_p64,2200,16,64,38,0.8866,1.50,23
c2560_i16_p64,2560,16,64,40,0.8816,1.22,26
c3072_i16_p64,3072,16,64,54,0.8756,2.05,39
c4096_i16_p64,4096,16,64,62,0.8583,0.08,48
c5120_i16_p64,5120,16,64,70,0.8508,0.92,57
c6144_i16_p64,6144,16,64,83,0.8425,0.90,68
c7000_i16_p64,7000,16,64,91,0.8350,0.91,78
c1536_i16_p80,1536,16,80,32,0.9173,1.83,18
c1600_i16_p80,1600,16,80,33,0.9171,1.75,18
c1800_i16_p80,1800,16,80,33,0.9117,1.63,19
c2048_i16_p80,2048,16,80,38,0.9052,1.56,22
c2200_i16_p80,2200,16,80,39,0.8997,1.47,24
c2560_i16_p80,2560,16,80,42,0.8970,1.35,27
c3072_i16_p80,3072,16,80,47,0.8895,1.19,33
c4096_i16_p80,4096,16,80,59,0.8748,1.10,44
c5120_i16_p80,5120,16,80,72,0.8672,1.20,56
c6144_i16_p80,6144,16,80,85,0.8564,1.09,70
c7000_i16_p80,7000,16,80,95,0.8511,1.34,81
c8192_i16_p80,8192,16,80,108,0.8466,1.20,94
c10240_i16_p80,10240,16,80,133,0.8327,1.08,118
c1536_i16_p90,1536,16,90,33,0.9226,2.05,18
c1600_i16_p90,1600,16,90,33,0.9230,2.09,19
c1800_i16_p90,1800,16,90,36,0.9181,1.91,20
c2048_i16_p90,2048,16,90,42,0.9134,1.78,26
c2200_i16_p90,2200,16,90,38,0.9078,1.62,24
c2560_i16_p90,2560,16,90,43,0.9035,1.63,28
c3072_i16_p90,3072,16,90,52,0.8959,1.40,35
c4096_i16_p90,4096,16,90,61,0.8820,1.25,47
c5120_i16_p90,5120,16,90,73,0.8730,1.13,60
c6144_i16_p90,6144,16,90,85,0.8633,1.21,70
c7000_i16_p90,7000,16,90,96,0.8596,1.19,80
c8192_i16_p64,8192,16,64,108,0.8282,1.03,92
c10240_i16_p90,10240,16,90,138,0.8425,1.12,122
c1536_i16_p100,1536,16,100,33,0.9271,1.00,19
c1600_i16_p100,1600,16,100,35,0.9267,2.35,18
c1800_i16_p100,1800,16,100,36,0.9238,2.00,20
c2048_i16_p100,2048,16,100,38,0.9188,1.84,24
c2200_i16_p100,2200,16,100,40,0.9143,1.71,24
c2560_i16_p100,2560,16,100,42,0.9107,1.68,28
c3072_i16_p100,3072,16,100,54,0.9038,1.55,38
c4096_i16_p100,4096,16,100,64,0.8893,1.52,50
c5120_i16_p100,5120,16,100,74,0.8805,Average query time: -0.16 ms,61
c6144_i16_p100,6144,16,100,87,0.8717,1.28,73
c7000_i16_p100,7000,16,100,98,0.8667,1.21,82
c8192_i16_p100,8192,16,100,119,0.8605,1.68,102
c10240_i16_p100,10240,16,100,137,0.8513,1.20,121
c1536_i16_p120,1536,16,120,33,0.9373,2.59,17
c1600_i16_p120,1600,16,120,34,0.9360,2.45,17
c1800_i16_p120,1800,16,120,36,0.9320,2.27,20
c2048_i16_p120,2048,16,120,39,0.9289,2.29,23
c2200_i16_p120,2200,16,120,40,0.9245,2.05,24
c2560_i16_p120,2560,16,120,44,0.9196,1.80,28
c3072_i16_p120,3072,16,120,51,0.9140,1.74,35
c4096_i16_p120,4096,16,120,67,0.8996,1.82,52
c5120_i16_p120,5120,16,120,77,0.8917,1.27,62
c6144_i16_p120,6144,16,120,84,0.8821,1.32,69
