variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,43,10,735,1024,3965.874488,3971.397534, 315.666519, 0.995650, 3.167900, 41556.467900, 31275, 31679.001062,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,1024,4223.552442,4229.743770, 300.095947, 0.995650, 3.332268, 41556.467900, 31275, 33322.675929,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,1024,4265.496590,4271.141105, 303.803722, 0.995650, 3.291599, 41556.467900, 31275, 32915.989091,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,1024,3972.560399,3978.865413, 308.726081, 0.995650, 3.239117, 41556.467900, 31275, 32391.173312,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,1024,3997.565075,5293.079566, 189.171132, 0.000000, 5.286219, 41576.008600, 31560, 52862.188383,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,1024,4023.991529,4030.391603, 265.203826, 0.995650, 3.770685, 41556.467900, 31275, 37706.846617,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,1024,4003.000826,4008.958703, 316.497649, 0.995650, 3.159581, 41556.467900, 31275, 31595.811327,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,1024,4181.120195,4187.128738, 290.047793, 0.995650, 3.447708, 41556.467900, 31275, 34477.076638,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,1024,4100.011636,4105.648217, 310.149665, 0.995650, 3.224250, 41556.467900, 31275, 32242.498134,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,1024,3961.197718,5259.023879, 174.292261, 0.000000, 5.737489, 41576.008600, 31560, 57374.893885,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1024/nothing/run_stdout_1.log,1
