STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c512_i16_p256,512,16,256,OK,111,0.9971,37.88,34
c512_i8_p256,512,8,256,OK,94,0.9955,30.04,19
c512_i4_p256,512,4,256,OK,74,0.995,24.81,12
c512_i2_p256,512,2,256,OK,75,0.9933,33.69,9
c1024_i16_p256,1024,16,256,OK,120,0.9856,18.75,63
c1024_i8_p256,1024,8,256,OK,90,0.9838,18.42,34
c512_i16_p128,512,16,128,OK,92,0.9831,19.52,34
c1024_i4_p256,1024,4,256,OK,75,0.9811,16.85,20
c1024_i2_p256,1024,2,256,OK,73,0.9799,17.72,18
c512_i8_p128,512,8,128,OK,75,0.979,18.2,19
c512_i4_p128,512,4,128,OK,61,0.975,13.64,12
c512_i2_p128,512,2,128,OK,58,0.9725,16.26,9
c2048_i16_p256,2048,16,256,OK,184,0.9657,10.51,133
c2048_i8_p256,2048,8,256,OK,116,0.9621,9.88,68
c1024_i16_p128,1024,16,128,OK,112,0.9599,10.26,64
c2048_i4_p256,2048,4,256,OK,93,0.9591,9.63,45
c2048_i2_p256,2048,2,256,OK,73,0.9564,9.53,25
c1024_i8_p128,1024,8,128,OK,83,0.9556,9.93,34
c512_i16_p64,512,16,64,OK,83,0.9529,10.62,34
c1024_i4_p128,1024,4,128,OK,68,0.9499,9.31,20
