STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c64_i16_p128,64,16,128,OK,119,1.0000,70.43,11
c64_i16_p32,64,16,32,OK,90,0.9920,39.92,11
c64_i16_p64,64,16,64,OK,122,1.0000,72.86,11
c64_i16_p128,64,16,128,OK,123,1.0000,70.43,11
c64_i16_p8,64,16,8,OK,86,0.9137,13.35,11
c64_i16_p16,64,16,16,OK,71,0.9627,21.53,11
c64_i16_p32,64,16,32,OK,89,0.9920,39.92,11
c64_i16_p64,64,16,64,OK,123,1.0000,72.86,11
c64_i16_p128,64,16,128,OK,124,1.0000,70.43,11
c64_i16_p256,64,16,256,OK,123,1.0000,74.16,11
c64_i16_p512,64,16,512,OK,123,1.0000,73.25,10
c64_i32_p8,64,32,8,OK,70,0.9173,14.10,16
c64_i32_p16,64,32,16,OK,77,0.9634,22.80,15
c64_i32_p32,64,32,32,OK,95,0.9915,40.74,16
c64_i32_p64,64,32,64,OK,128,1.0000,73.57,15
c64_i32_p128,64,32,128,OK,129,1.0000,73.47,16
c64_i32_p256,64,32,256,OK,127,1.0000,73.58,16
c64_i32_p512,64,32,512,OK,128,1.0000,73.38,16
c128_i16_p8,128,16,8,OK,61,0.8848,8.21,14
c128_i16_p16,128,16,16,OK,64,0.9337,12.22,14
c128_i16_p32,128,16,32,OK,75,0.9735,21.94,14
c128_i16_p64,128,16,64,OK,95,0.9939,41.36,15
c128_i16_p128,128,16,128,OK,130,1.0000,76.48,14
c128_i16_p256,128,16,256,OK,132,1.0000,78.25,14
c128_i16_p512,128,16,512,OK,129,1.0000,74.95,14
c128_i32_p8,128,32,8,OK,70,0.8862,8.17,23
c128_i32_p16,128,32,16,OK,74,0.9358,12.47,23
c128_i32_p32,128,32,32,OK,84,0.9753,22.35,23
c128_i32_p64,128,32,64,OK,103,0.9944,42.18,23
c128_i32_p128,128,32,128,OK,137,1.0000,74.78,23
c128_i32_p256,128,32,256,OK,137,1.0000,75.10,23
c128_i32_p512,128,32,512,OK,137,1.0000,75.01,24
c256_i16_p8,256,16,8,OK,68,0.8383,5.17,23
c256_i16_p16,256,16,16,OK,67,0.8986,6.94,22
c256_i16_p32,256,16,32,OK,72,0.9457,11.31,23
c256_i16_p64,256,16,64,OK,84,0.9766,23.02,22
c256_i16_p128,256,16,128,OK,103,0.9951,40.34,23
